FIPS,State,Carrier,Challenge?
230039513001006,ME,FairPoint,N
230039513001017,ME,FairPoint,N
230039513001018,ME,FairPoint,N
230039513001024,ME,FairPoint,N
230039513001027,ME,FairPoint,N
230079713001000,ME,FairPoint,N
230079713001002,ME,FairPoint,N
230079713001003,ME,FairPoint,N
230079713001004,ME,FairPoint,N
230079713001006,ME,FairPoint,N
230079713001007,ME,FairPoint,N
230079713002006,ME,FairPoint,N
230099651002263,ME,FairPoint,N
230099651002265,ME,FairPoint,N
230099651002272,ME,FairPoint,N
230099651003065,ME,FairPoint,N
230099651003137,ME,FairPoint,N
230099651003142,ME,FairPoint,N
230099651003144,ME,FairPoint,N
230099651003152,ME,FairPoint,N
230099657001003,ME,FairPoint,N
230099657001005,ME,FairPoint,N
230159755001064,ME,FairPoint,N
230159755001068,ME,FairPoint,N
230179669002013,ME,FairPoint,N
230179669002016,ME,FairPoint,N
230179669002017,ME,FairPoint,N
230179669002021,ME,FairPoint,N
230179669002022,ME,FairPoint,N
230179669002024,ME,FairPoint,N
230179669002039,ME,FairPoint,N
230179669002095,ME,FairPoint,N
230179669002096,ME,FairPoint,N
230179669002097,ME,FairPoint,N
230179669002101,ME,FairPoint,N
230190072002011,ME,FairPoint,N
230190072002012,ME,FairPoint,N
230190072002013,ME,FairPoint,N
230190090001006,ME,FairPoint,N
230190090001008,ME,FairPoint,N
230190090001012,ME,FairPoint,N
230190150003015,ME,FairPoint,N
230190205001013,ME,FairPoint,N
230190205002027,ME,FairPoint,N
230190205002033,ME,FairPoint,N
230190205002036,ME,FairPoint,N
230190215001040,ME,FairPoint,N
230190215001042,ME,FairPoint,N
230190245001085,ME,FairPoint,N
230190245001107,ME,FairPoint,N
230190245001108,ME,FairPoint,N
230190245001109,ME,FairPoint,N
230190245001110,ME,FairPoint,N
230190245001115,ME,FairPoint,N
230190245001119,ME,FairPoint,N
230190245001121,ME,FairPoint,N
230190245001128,ME,FairPoint,N
230190265002047,ME,FairPoint,N
230190265002054,ME,FairPoint,N
230190265002060,ME,FairPoint,N
230190270002000,ME,FairPoint,N
230219603013058,ME,FairPoint,N
230219603013064,ME,FairPoint,N
230219604001128,ME,FairPoint,N
230219604001316,ME,FairPoint,N
230219604001325,ME,FairPoint,N
230219604001330,ME,FairPoint,N
230219604001332,ME,FairPoint,N
230219604001333,ME,FairPoint,N
230219604001337,ME,FairPoint,N
230219604001338,ME,FairPoint,N
230219604001342,ME,FairPoint,N
230219604001349,ME,FairPoint,N
230219604002016,ME,FairPoint,N
230219604002089,ME,FairPoint,N
230219606001012,ME,FairPoint,N
230219606001022,ME,FairPoint,N
230219606002003,ME,FairPoint,N
230239702003029,ME,FairPoint,N
230239702003039,ME,FairPoint,N
230239703011010,ME,FairPoint,N
230299553002000,ME,FairPoint,N
230299553002014,ME,FairPoint,N
230299553002022,ME,FairPoint,N
230310225003017,ME,FairPoint,N
230310225003025,ME,FairPoint,N
230310225003034,ME,FairPoint,N
230310225003043,ME,FairPoint,N
230310225003047,ME,FairPoint,N
230310225003049,ME,FairPoint,N
230310225003050,ME,FairPoint,N
230310225003052,ME,FairPoint,N
330039556001001,NH,FairPoint,N
330039556001017,NH,FairPoint,N
330039564002057,NH,FairPoint,N
330059702003073,NH,FairPoint,N
330059706002021,NH,FairPoint,N
330059706002054,NH,FairPoint,N
330059706002081,NH,FairPoint,N
330059706003031,NH,FairPoint,N
330059706003046,NH,FairPoint,N
330059716002012,NH,FairPoint,N
330059716002013,NH,FairPoint,N
330059716002014,NH,FairPoint,N
330059716002034,NH,FairPoint,N
330059716002035,NH,FairPoint,N
330059716003031,NH,FairPoint,N
330079501001259,NH,FairPoint,N
330079501001270,NH,FairPoint,N
330079501001273,NH,FairPoint,N
330079501002071,NH,FairPoint,N
330079501002102,NH,FairPoint,N
330079501002130,NH,FairPoint,N
330079501002135,NH,FairPoint,N
330079501002136,NH,FairPoint,N
330079501002173,NH,FairPoint,N
330079501002219,NH,FairPoint,N
330079501002233,NH,FairPoint,N
330079501003040,NH,FairPoint,N
330079501003045,NH,FairPoint,N
330079501003046,NH,FairPoint,N
330079501003048,NH,FairPoint,N
330079501003076,NH,FairPoint,N
330079501003077,NH,FairPoint,N
330079501003103,NH,FairPoint,N
330079501003112,NH,FairPoint,N
330079502003047,NH,FairPoint,N
330079502003051,NH,FairPoint,N
330079503002006,NH,FairPoint,N
330079503002024,NH,FairPoint,N
330079503002026,NH,FairPoint,N
330079503002035,NH,FairPoint,N
330079504001028,NH,FairPoint,N
330079505002048,NH,FairPoint,N
330079511003025,NH,FairPoint,N
330079511003032,NH,FairPoint,N
330079511003035,NH,FairPoint,N
330079511003044,NH,FairPoint,N
330079511003045,NH,FairPoint,N
330099603004112,NH,FairPoint,N
330099603004117,NH,FairPoint,N
330099603004175,NH,FairPoint,N
330110220001019,NH,FairPoint,N
330130405002002,NH,FairPoint,N
330130405002012,NH,FairPoint,N
330130405002044,NH,FairPoint,N
330130405002048,NH,FairPoint,N
360130363002083,NY,FairPoint,N
360130363002084,NY,FairPoint,N
360130363002098,NY,FairPoint,N
360130363002099,NY,FairPoint,N
360130363002103,NY,FairPoint,N
360130363002116,NY,FairPoint,N
360130363002117,NY,FairPoint,N
360130363003052,NY,FairPoint,N
360130363003053,NY,FairPoint,N
360130363003055,NY,FairPoint,N
360130363003079,NY,FairPoint,N
360130364014026,NY,FairPoint,N
360130364022006,NY,FairPoint,N
360130366002005,NY,FairPoint,N
360130366002027,NY,FairPoint,N
360130366002028,NY,FairPoint,N
360130366002029,NY,FairPoint,N
360130366002043,NY,FairPoint,N
360130366002048,NY,FairPoint,N
360130366002089,NY,FairPoint,N
360130366002090,NY,FairPoint,N
360130366002095,NY,FairPoint,N
360130366002097,NY,FairPoint,N
360130366002101,NY,FairPoint,N
360130366002102,NY,FairPoint,N
360130366002104,NY,FairPoint,N
360130366002126,NY,FairPoint,N
360130366002128,NY,FairPoint,N
360130366002131,NY,FairPoint,N
360130366002134,NY,FairPoint,N
360130366002135,NY,FairPoint,N
360130366002148,NY,FairPoint,N
360130366002165,NY,FairPoint,N
360130367001000,NY,FairPoint,N
360130367001026,NY,FairPoint,N
360130367001074,NY,FairPoint,N
360130367002002,NY,FairPoint,N
360130367002004,NY,FairPoint,N
360130367002028,NY,FairPoint,N
360130367002031,NY,FairPoint,N
360210001001064,NY,FairPoint,N
360210001001072,NY,FairPoint,N
360210001001076,NY,FairPoint,N
360210003002064,NY,FairPoint,N
360271000002000,NY,FairPoint,N
360830521021015,NY,FairPoint,N
360830521021017,NY,FairPoint,N
360830521021029,NY,FairPoint,N
360830521031006,NY,FairPoint,N
360830525022085,NY,FairPoint,N
360830526032077,NY,FairPoint,N
360830526032109,NY,FairPoint,N
360830526032110,NY,FairPoint,N
360830526032111,NY,FairPoint,N
421257620003005,PA,FairPoint,N
511430101001072,VA,FairPoint,N
511430101002004,VA,FairPoint,N
511430101002115,VA,FairPoint,N
511430101003005,VA,FairPoint,N
511430101003017,VA,FairPoint,N
511430101003068,VA,FairPoint,N
511430101003093,VA,FairPoint,N
511430102003105,VA,FairPoint,N
511430103001093,VA,FairPoint,N
511430103003002,VA,FairPoint,N
511430103004037,VA,FairPoint,N
511430103004040,VA,FairPoint,N
511430105003001,VA,FairPoint,N
511430106002030,VA,FairPoint,N
530379751001425,WA,FairPoint,N
530379751001430,WA,FairPoint,N
530379751001459,WA,FairPoint,N
530379751001472,WA,FairPoint,N
530379751001479,WA,FairPoint,N
530379751001507,WA,FairPoint,N
530379751001519,WA,FairPoint,N
230039501001103,ME,FairPoint,N
230039501002121,ME,FairPoint,N
230039501002132,ME,FairPoint,N
230039501002133,ME,FairPoint,N
230039501002135,ME,FairPoint,N
230039509002062,ME,FairPoint,N
230039509002069,ME,FairPoint,N
230039509002071,ME,FairPoint,N
230039509002076,ME,FairPoint,N
230039509002077,ME,FairPoint,N
230039509002079,ME,FairPoint,N
230039509002084,ME,FairPoint,N
230039509002086,ME,FairPoint,N
230039509002089,ME,FairPoint,N
230039509002097,ME,FairPoint,N
230039509002098,ME,FairPoint,N
230039509002099,ME,FairPoint,N
230039509002102,ME,FairPoint,N
230039509002103,ME,FairPoint,N
230039509002104,ME,FairPoint,N
230039510001021,ME,FairPoint,N
230039510001024,ME,FairPoint,N
230039510001025,ME,FairPoint,N
230039510001026,ME,FairPoint,N
230039510002028,ME,FairPoint,N
230039510002043,ME,FairPoint,N
230039513001002,ME,FairPoint,N
230039517005000,ME,FairPoint,N
230039517005037,ME,FairPoint,N
230039517005059,ME,FairPoint,N
230039517005060,ME,FairPoint,N
230039526003152,ME,FairPoint,N
230039529001040,ME,FairPoint,N
230039529001042,ME,FairPoint,N
230050042005001,ME,FairPoint,N
230050042005002,ME,FairPoint,N
230050042005003,ME,FairPoint,N
230050042005007,ME,FairPoint,N
230050042005010,ME,FairPoint,N
230050042005011,ME,FairPoint,N
230050042005013,ME,FairPoint,N
230050042005018,ME,FairPoint,N
230050042005019,ME,FairPoint,N
230050042005032,ME,FairPoint,N
230050042005043,ME,FairPoint,N
230099651002216,ME,FairPoint,N
230099651002226,ME,FairPoint,N
230099651002230,ME,FairPoint,N
230099651002231,ME,FairPoint,N
230099651002233,ME,FairPoint,N
230099651002234,ME,FairPoint,N
230099651002244,ME,FairPoint,N
230099651002246,ME,FairPoint,N
230099651002249,ME,FairPoint,N
230099651002263,ME,FairPoint,N
230099651002266,ME,FairPoint,N
230099651002267,ME,FairPoint,N
230099651003137,ME,FairPoint,N
230099651003144,ME,FairPoint,N
230099652001021,ME,FairPoint,N
230099652001022,ME,FairPoint,N
230099652001026,ME,FairPoint,N
230099652001036,ME,FairPoint,N
230099652001037,ME,FairPoint,N
230099652001040,ME,FairPoint,N
230099652001044,ME,FairPoint,N
230099652001054,ME,FairPoint,N
230099652001069,ME,FairPoint,N
230099652002013,ME,FairPoint,N
230099652002015,ME,FairPoint,N
230099652002023,ME,FairPoint,N
230099652002025,ME,FairPoint,N
230099652002099,ME,FairPoint,N
230099652002101,ME,FairPoint,N
230099652002102,ME,FairPoint,N
230099652002103,ME,FairPoint,N
230099652002104,ME,FairPoint,N
230099652002105,ME,FairPoint,N
230099652002106,ME,FairPoint,N
230099653001037,ME,FairPoint,N
230099653001038,ME,FairPoint,N
230099653001039,ME,FairPoint,N
230099654001000,ME,FairPoint,N
230099654001006,ME,FairPoint,N
230099654001008,ME,FairPoint,N
230099654001022,ME,FairPoint,N
230099654001029,ME,FairPoint,N
230099654001030,ME,FairPoint,N
230099654001031,ME,FairPoint,N
230099654001036,ME,FairPoint,N
230099654001050,ME,FairPoint,N
230099654001071,ME,FairPoint,N
230099654002003,ME,FairPoint,N
230099654002004,ME,FairPoint,N
230099654002006,ME,FairPoint,N
230099654002015,ME,FairPoint,N
230099654002018,ME,FairPoint,N
230099655042060,ME,FairPoint,N
230099663002013,ME,FairPoint,N
230099663002020,ME,FairPoint,N
230099663002030,ME,FairPoint,N
230099663002031,ME,FairPoint,N
230099663002034,ME,FairPoint,N
230099663002035,ME,FairPoint,N
230099663002040,ME,FairPoint,N
230099663002042,ME,FairPoint,N
230099663002043,ME,FairPoint,N
230099663002046,ME,FairPoint,N
230099663002048,ME,FairPoint,N
230099663002050,ME,FairPoint,N
230099663002051,ME,FairPoint,N
230099663002060,ME,FairPoint,N
230099664001012,ME,FairPoint,N
230099664001015,ME,FairPoint,N
230099664001022,ME,FairPoint,N
230099664001023,ME,FairPoint,N
230099664001060,ME,FairPoint,N
230099664001066,ME,FairPoint,N
230099664001068,ME,FairPoint,N
230099664001072,ME,FairPoint,N
230099665002012,ME,FairPoint,N
230099665002014,ME,FairPoint,N
230099665002043,ME,FairPoint,N
230099665002047,ME,FairPoint,N
230099665003035,ME,FairPoint,N
230099665003047,ME,FairPoint,N
230190072002011,ME,FairPoint,N
230190072002013,ME,FairPoint,N
230190090001012,ME,FairPoint,N
230190120001009,ME,FairPoint,N
230190120001010,ME,FairPoint,N
230190120001011,ME,FairPoint,N
230190130003015,ME,FairPoint,N
230190130003022,ME,FairPoint,N
230190130003023,ME,FairPoint,N
230190130003025,ME,FairPoint,N
230190150003010,ME,FairPoint,N
230190150003012,ME,FairPoint,N
230190150003015,ME,FairPoint,N
230190150003016,ME,FairPoint,N
230190205001008,ME,FairPoint,N
230190205001013,ME,FairPoint,N
230190215002071,ME,FairPoint,N
230190215002080,ME,FairPoint,N
230190215002081,ME,FairPoint,N
230190215002083,ME,FairPoint,N
230190245001085,ME,FairPoint,N
230190245001108,ME,FairPoint,N
230190245001128,ME,FairPoint,N
230190245001129,ME,FairPoint,N
230190265002046,ME,FairPoint,N
230190265002049,ME,FairPoint,N
230190265002054,ME,FairPoint,N
230190265002055,ME,FairPoint,N
230190265002056,ME,FairPoint,N
230190265002066,ME,FairPoint,N
230190265002067,ME,FairPoint,N
230190265002072,ME,FairPoint,N
230190270002000,ME,FairPoint,N
230190270002009,ME,FairPoint,N
230219603013058,ME,FairPoint,N
230219603013064,ME,FairPoint,N
230219604001193,ME,FairPoint,N
230219604001197,ME,FairPoint,N
230219604001198,ME,FairPoint,N
230219605002100,ME,FairPoint,N
230219606001012,ME,FairPoint,N
230219606001022,ME,FairPoint,N
230219606001024,ME,FairPoint,N
230219606001025,ME,FairPoint,N
230219606001034,ME,FairPoint,N
230219606001047,ME,FairPoint,N
230219606003026,ME,FairPoint,N
230219606003027,ME,FairPoint,N
230219606003033,ME,FairPoint,N
230219607001022,ME,FairPoint,N
230219607002003,ME,FairPoint,N
230219607002054,ME,FairPoint,N
230219607002063,ME,FairPoint,N
230219607002066,ME,FairPoint,N
230219607002069,ME,FairPoint,N
230219608001047,ME,FairPoint,N
230219608001052,ME,FairPoint,N
230219608001056,ME,FairPoint,N
230219608001061,ME,FairPoint,N
230219608001099,ME,FairPoint,N
230270410001004,ME,FairPoint,N
230299553002000,ME,FairPoint,N
330039564002040,NH,FairPoint,N
330039564002041,NH,FairPoint,N
330039564002042,NH,FairPoint,N
330039564002057,NH,FairPoint,N
330039564002059,NH,FairPoint,N
330039564002061,NH,FairPoint,N
330059702003048,NH,FairPoint,N
330059702003049,NH,FairPoint,N
330059702003051,NH,FairPoint,N
330059702003069,NH,FairPoint,N
330059702003072,NH,FairPoint,N
330059706001003,NH,FairPoint,N
330059706001013,NH,FairPoint,N
330059706001014,NH,FairPoint,N
330059706001015,NH,FairPoint,N
330059706001017,NH,FairPoint,N
330059706001018,NH,FairPoint,N
330059706001019,NH,FairPoint,N
330059706001021,NH,FairPoint,N
330059706001024,NH,FairPoint,N
330059706001032,NH,FairPoint,N
330059706001033,NH,FairPoint,N
330059706001034,NH,FairPoint,N
330059706001036,NH,FairPoint,N
330059706001040,NH,FairPoint,N
330059706001043,NH,FairPoint,N
330059706001044,NH,FairPoint,N
330059706001046,NH,FairPoint,N
330059706001048,NH,FairPoint,N
330059706001055,NH,FairPoint,N
330059706001056,NH,FairPoint,N
330059706001057,NH,FairPoint,N
330059706001063,NH,FairPoint,N
330059706002014,NH,FairPoint,N
330059706002021,NH,FairPoint,N
330059706002038,NH,FairPoint,N
330059706002045,NH,FairPoint,N
330059706002056,NH,FairPoint,N
330059706002067,NH,FairPoint,N
330059706002073,NH,FairPoint,N
330059706002074,NH,FairPoint,N
330059706002075,NH,FairPoint,N
330059706002080,NH,FairPoint,N
330059706002083,NH,FairPoint,N
330059706002084,NH,FairPoint,N
330059706002085,NH,FairPoint,N
330059706002098,NH,FairPoint,N
330059706002099,NH,FairPoint,N
330059706002100,NH,FairPoint,N
330059706002103,NH,FairPoint,N
330059706002107,NH,FairPoint,N
330059706002108,NH,FairPoint,N
330059706002111,NH,FairPoint,N
330059706002114,NH,FairPoint,N
330059706002116,NH,FairPoint,N
330059706002117,NH,FairPoint,N
330059706002120,NH,FairPoint,N
330059706002121,NH,FairPoint,N
330059706002124,NH,FairPoint,N
330059706003000,NH,FairPoint,N
330059706003001,NH,FairPoint,N
330059706003003,NH,FairPoint,N
330059706003013,NH,FairPoint,N
330059706003015,NH,FairPoint,N
330059706003016,NH,FairPoint,N
330059706003020,NH,FairPoint,N
330059706003024,NH,FairPoint,N
330059706003025,NH,FairPoint,N
330059706003027,NH,FairPoint,N
330059706003028,NH,FairPoint,N
330059706003030,NH,FairPoint,N
330059706003033,NH,FairPoint,N
330059706003034,NH,FairPoint,N
330059706003037,NH,FairPoint,N
330059706003038,NH,FairPoint,N
330059706003040,NH,FairPoint,N
330059706003042,NH,FairPoint,N
330059706003045,NH,FairPoint,N
330059706003046,NH,FairPoint,N
330059706003062,NH,FairPoint,N
330059706003066,NH,FairPoint,N
330059706003073,NH,FairPoint,N
330059706003074,NH,FairPoint,N
330059706003075,NH,FairPoint,N
330059706003076,NH,FairPoint,N
330059706003077,NH,FairPoint,N
330059706003078,NH,FairPoint,N
330059706003079,NH,FairPoint,N
330059706003080,NH,FairPoint,N
330059706003081,NH,FairPoint,N
330059706003082,NH,FairPoint,N
330059706003083,NH,FairPoint,N
330059707002022,NH,FairPoint,N
330059708004014,NH,FairPoint,N
330059708004017,NH,FairPoint,N
330059708004033,NH,FairPoint,N
330059708004036,NH,FairPoint,N
330059708004037,NH,FairPoint,N
330059708004054,NH,FairPoint,N
330059715001045,NH,FairPoint,N
330059715001051,NH,FairPoint,N
330059715001054,NH,FairPoint,N
330059715001071,NH,FairPoint,N
330059715001072,NH,FairPoint,N
330059715002000,NH,FairPoint,N
330059715002001,NH,FairPoint,N
330059715002002,NH,FairPoint,N
330059715002005,NH,FairPoint,N
330059715002006,NH,FairPoint,N
330059715002015,NH,FairPoint,N
330059715002016,NH,FairPoint,N
330059715003001,NH,FairPoint,N
330059715003003,NH,FairPoint,N
330059715003006,NH,FairPoint,N
330059715003011,NH,FairPoint,N
330059715003013,NH,FairPoint,N
330059715003020,NH,FairPoint,N
330059715003021,NH,FairPoint,N
330059715003025,NH,FairPoint,N
330059715003032,NH,FairPoint,N
330059716002011,NH,FairPoint,N
330059716003018,NH,FairPoint,N
330059716003022,NH,FairPoint,N
330059716003035,NH,FairPoint,N
330079501003074,NH,FairPoint,N
330079502003047,NH,FairPoint,N
330079502003049,NH,FairPoint,N
330079503002006,NH,FairPoint,N
330079503002009,NH,FairPoint,N
330079503002019,NH,FairPoint,N
330079503002020,NH,FairPoint,N
330079503002024,NH,FairPoint,N
330079503002025,NH,FairPoint,N
330079503002026,NH,FairPoint,N
330079503002028,NH,FairPoint,N
330079503002029,NH,FairPoint,N
330079503002030,NH,FairPoint,N
330079503002033,NH,FairPoint,N
330079503002034,NH,FairPoint,N
330079503002035,NH,FairPoint,N
330079503002052,NH,FairPoint,N
330079503002055,NH,FairPoint,N
330079503002056,NH,FairPoint,N
330079503002092,NH,FairPoint,N
330079503002093,NH,FairPoint,N
330079504001028,NH,FairPoint,N
330079504001048,NH,FairPoint,N
330079511003010,NH,FairPoint,N
330079511003012,NH,FairPoint,N
330079511003031,NH,FairPoint,N
330079511003034,NH,FairPoint,N
330079511003037,NH,FairPoint,N
330079511003038,NH,FairPoint,N
330079511003039,NH,FairPoint,N
330079511003040,NH,FairPoint,N
330079511003043,NH,FairPoint,N
330099603004103,NH,FairPoint,N
330099603004104,NH,FairPoint,N
330099603004106,NH,FairPoint,N
330099603004118,NH,FairPoint,N
330099603004176,NH,FairPoint,N
330099609002005,NH,FairPoint,N
330099609002010,NH,FairPoint,N
330099609002013,NH,FairPoint,N
330099609002018,NH,FairPoint,N
330099609002019,NH,FairPoint,N
330099609002021,NH,FairPoint,N
330099609002023,NH,FairPoint,N
330099609002028,NH,FairPoint,N
330099609002030,NH,FairPoint,N
330099609002031,NH,FairPoint,N
330099609002032,NH,FairPoint,N
330099609002034,NH,FairPoint,N
330099609002035,NH,FairPoint,N
330099609002036,NH,FairPoint,N
330099609002058,NH,FairPoint,N
330110220001019,NH,FairPoint,N
330110220001033,NH,FairPoint,N
330110220001035,NH,FairPoint,N
330110220001036,NH,FairPoint,N
330110220001037,NH,FairPoint,N
330110220001051,NH,FairPoint,N
330110220001063,NH,FairPoint,N
330110220001064,NH,FairPoint,N
330110220001065,NH,FairPoint,N
330110220001068,NH,FairPoint,N
330110220001080,NH,FairPoint,N
330110220001084,NH,FairPoint,N
330110220001085,NH,FairPoint,N
330130405002004,NH,FairPoint,N
330130405002005,NH,FairPoint,N
330130405002007,NH,FairPoint,N
330130405002010,NH,FairPoint,N
330130405002011,NH,FairPoint,N
330130405002013,NH,FairPoint,N
330130405002043,NH,FairPoint,N
330130405002044,NH,FairPoint,N
